school, sex, age, Medu, Fedu, Mjob, Fjob, reason, traveltime, studytime, failures, schoolsup, famsup, paid, activities, higher, internet, freetime, health, absences, G1, G2, G3, GC1, GC2, GC3, GG1, GG2, GG3
GP, F, 18, 4, 4, at_home, teacher, course, 2, 2, 0, yes, no, no, no, yes, no, 3, 3, 4, 0, 11, 11, fail, pass, pass, 7, 3,7, 3,7
GP, F, 17, 1, 1, at_home, other, course, 1, 2, 0, no, yes, no, no, yes, yes, 3, 3, 2, 9, 11, 11, fail, pass, pass, 4,3, 3,7, 3,7
GP, F, 15, 1, 1, at_home, other, other, 1, 2, 0, yes, no, no, no, yes, yes, 3, 3, 6, 12, 13, 12, pass, pass, pass, 3,4, 3,1, 3,4
GP, F, 15, 4, 2, health, services, home, 1, 3, 0, no, yes, no, yes, yes, yes, 2, 5, 0, 14, 14, 14, good, good, good, 2,8, 2,8, 2,8
GP, F, 16, 3, 3, other, other, home, 1, 2, 0, no, yes, no, no, yes, no, 3, 5, 0, 11, 13, 13, pass, pass, pass, 3,7, 3,1, 3,1
GP, M, 16, 4, 3, services, other, reputation, 1, 2, 0, no, yes, no, yes, yes, yes, 4, 5, 6, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, M, 16, 2, 2, other, other, home, 1, 2, 0, no, no, no, no, yes, yes, 4, 3, 0, 13, 12, 13, pass, pass, pass, 3,1, 3,4, 3,1
GP, F, 17, 4, 4, other, teacher, home, 2, 2, 0, yes, yes, no, no, yes, no, 1, 1, 2, 10, 13, 13, pass, pass, pass, 4, 3,1, 3,1
GP, M, 15, 3, 2, services, other, home, 1, 2, 0, no, yes, no, no, yes, yes, 2, 1, 0, 15, 16, 17, V.good, V.good, V.good, 2,5, 2,2, 1,9
GP, M, 15, 3, 4, other, other, home, 1, 2, 0, no, yes, no, yes, yes, yes, 5, 5, 0, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, F, 15, 4, 4, teacher, health, reputation, 1, 2, 0, no, yes, no, no, yes, yes, 3, 2, 2, 14, 14, 14, good, good, good, 2,8, 2,8, 2,8
GP, F, 15, 2, 1, services, other, reputation, 3, 3, 0, no, yes, no, yes, yes, yes, 2, 4, 0, 10, 12, 13, pass, pass, pass, 4, 3,4, 3,1
GP, M, 15, 4, 4, health, services, course, 1, 1, 0, no, yes, no, yes, yes, yes, 3, 5, 0, 12, 13, 12, pass, pass, pass, 3,4, 3,1, 3,4
GP, M, 15, 4, 3, teacher, other, course, 2, 2, 0, no, yes, no, no, yes, yes, 4, 3, 0, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, M, 15, 2, 2, other, other, home, 1, 3, 0, no, yes, no, no, yes, yes, 5, 3, 0, 14, 14, 15, good, good, V.good, 2,8, 2,8, 2,5
GP, F, 16, 4, 4, health, other, home, 1, 1, 0, no, yes, no, no, yes, yes, 4, 2, 6, 17, 17, 17, V.good, V.good, V.good, 1,9, 1,9, 1,9
GP, F, 16, 4, 4, services, services, reputation, 1, 3, 0, no, yes, no, yes, yes, yes, 2, 2, 10, 13, 13, 14, pass, pass, good, 3,1, 3,1, 2,8
GP, F, 16, 3, 3, other, other, reputation, 3, 2, 0, yes, yes, no, yes, yes, no, 3, 4, 2, 13, 14, 14, pass, good, good, 3,1, 2,8, 2,8
GP, M, 17, 3, 2, services, services, course, 1, 1, 3, no, yes, yes, yes, yes, yes, 5, 5, 2, 8, 8, 7, fail, fail, fail, 4,6, 4,6, 4,9
GP, M, 16, 4, 3, health, other, home, 1, 1, 0, no, no, no, yes, yes, yes, 1, 5, 6, 12, 12, 12, pass, pass, pass, 3,4, 3,4, 3,4
GP, M, 15, 4, 3, teacher, other, reputation, 1, 2, 0, no, no, no, no, yes, yes, 4, 1, 0, 12, 13, 14, pass, pass, good, 3,4, 3,1, 2,8
GP, M, 15, 4, 4, health, health, other, 1, 1, 0, no, yes, yes, no, yes, yes, 4, 5, 0, 11, 12, 12, pass, pass, pass, 3,7, 3,4, 3,4
GP, M, 16, 4, 2, teacher, other, course, 1, 2, 0, no, no, no, yes, yes, yes, 5, 5, 0, 12, 13, 14, pass, pass, good, 3,4, 3,1, 2,8
GP, M, 16, 2, 2, other, other, reputation, 2, 2, 0, no, yes, no, yes, yes, yes, 4, 5, 2, 10, 10, 10, pass, pass, pass, 4, 4, 4
GP, F, 15, 2, 4, services, health, course, 1, 3, 0, yes, yes, no, yes, yes, yes, 3, 5, 2, 10, 11, 10, pass, pass, pass, 4, 3,7, 4
GP, F, 16, 2, 2, services, services, home, 1, 1, 0, no, yes, no, no, yes, yes, 2, 5, 6, 10, 11, 12, pass, pass, pass, 4, 3,7, 3,4
GP, M, 15, 2, 2, other, other, home, 1, 1, 0, no, yes, no, no, yes, yes, 2, 5, 8, 11, 12, 12, pass, pass, pass, 3,7, 3,4, 3,4
GP, M, 15, 4, 2, health, services, other, 1, 1, 0, no, no, no, no, yes, yes, 2, 1, 0, 11, 11, 11, pass, pass, pass, 3,7, 3,7, 3,7
GP, M, 16, 3, 4, services, other, home, 1, 2, 0, yes, yes, yes, yes, yes, yes, 3, 5, 2, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, M, 16, 4, 4, teacher, teacher, home, 1, 2, 0, no, yes, yes, yes, yes, yes, 4, 5, 4, 12, 11, 12, pass, pass, pass, 3,4, 3,7, 3,4
GP, M, 15, 4, 4, health, services, home, 1, 2, 0, no, yes, yes, no, yes, yes, 4, 5, 0, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, M, 15, 4, 4, services, services, reputation, 2, 2, 0, no, yes, no, yes, yes, yes, 3, 5, 2, 15, 15, 15, V.good, V.good, V.good, 2,5, 2,5, 2,5
GP, M, 15, 4, 3, teacher, at_home, course, 1, 2, 0, no, yes, no, yes, yes, yes, 5, 5, 0, 13, 14, 15, pass, good, V.good, 3,1, 2,8, 2,5
GP, M, 15, 3, 3, other, other, course, 1, 2, 0, no, no, no, yes, yes, yes, 3, 2, 0, 13, 12, 12, pass, pass, pass, 3,1, 3,4, 3,4
GP, M, 16, 3, 2, other, other, home, 1, 1, 0, no, yes, no, no, yes, yes, 4, 5, 4, 12, 12, 12, pass, pass, pass, 3,4, 3,4, 3,4
GP, F, 15, 2, 3, other, other, other, 2, 1, 0, no, yes, no, yes, yes, no, 5, 5, 4, 11, 11, 11, pass, pass, pass, 3,7, 3,7, 3,7
GP, M, 15, 4, 3, teacher, services, home, 1, 3, 0, no, yes, no, yes, yes, yes, 4, 4, 0, 14, 14, 14, good, good, good, 2,8, 2,8, 2,8
GP, M, 16, 4, 4, other, teacher, reputation, 2, 3, 0, no, yes, no, yes, yes, yes, 4, 5, 4, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, F, 15, 3, 4, services, health, course, 1, 3, 0, yes, yes, no, yes, yes, yes, 3, 5, 2, 11, 12, 12, pass, pass, pass, 3,7, 3,4, 3,4
GP, F, 15, 2, 2, at_home, other, reputation, 1, 1, 0, yes, yes, no, yes, yes, no, 3, 2, 8, 14, 13, 12, good, pass, pass, 2,8, 3,1, 3,4
GP, F, 16, 2, 2, other, other, home, 2, 2, 0, no, yes, no, yes, yes, yes, 3, 3, 16, 11, 11, 10, pass, pass, pass, 3,7, 3,7, 4
GP, M, 15, 4, 4, teacher, other, home, 1, 1, 0, no, yes, no, no, yes, yes, 4, 5, 8, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, M, 15, 4, 4, services, teacher, course, 1, 2, 0, no, yes, no, yes, yes, yes, 3, 5, 0, 14, 15, 15, good, V.good, V.good, 2,8, 2,5, 2,5
GP, M, 15, 2, 2, services, services, course, 1, 1, 0, yes, yes, no, no, yes, yes, 4, 1, 0, 9, 10, 10, fail, pass, pass, 4,3, 4, 4
GP, F, 16, 2, 2, other, at_home, course, 2, 2, 1, yes, no, no, yes, yes, yes, 3, 5, 14, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, F, 15, 4, 3, other, other, course, 1, 2, 0, yes, yes, yes, yes, yes, yes, 2, 5, 4, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, F, 16, 3, 3, other, services, home, 1, 2, 0, no, yes, no, no, yes, yes, 3, 3, 6, 13, 12, 13, pass, pass, pass, 3,1, 3,4, 3,1
GP, M, 16, 4, 3, health, services, reputation, 1, 4, 0, no, no, no, yes, yes, yes, 2, 2, 2, 17, 17, 17, V.good, V.good, V.good, 1,9, 1,9, 1,9
GP, M, 15, 4, 2, teacher, other, home, 1, 2, 0, no, yes, no, no, yes, no, 3, 5, 4, 11, 12, 13, pass, pass, pass, 3,7, 3,4, 3,1
GP, F, 15, 4, 4, services, teacher, other, 1, 2, 0, yes, yes, no, yes, yes, yes, 4, 3, 2, 13, 12, 12, pass, pass, pass, 3,1, 3,4, 3,4
GP, F, 16, 2, 2, services, services, course, 3, 2, 0, no, yes, no, no, yes, yes, 3, 4, 0, 14, 13, 13, good, pass, pass, 2,8, 3,1, 3,1
GP, F, 15, 4, 2, health, other, other, 1, 2, 0, no, yes, no, no, yes, yes, 3, 5, 0, 16, 14, 16, V.good, good, V.good, 2,2, 2,8, 2,2
GP, M, 15, 4, 2, health, health, other, 2, 1, 0, no, no, no, no, yes, no, 5, 5, 4, 10, 9, 9, pass, fail, fail, 4, 4,3, 4,3
GP, F, 15, 4, 4, services, services, course, 1, 1, 0, yes, yes, no, no, yes, yes, 3, 5, 0, 13, 12, 12, pass, pass, pass, 3,1, 3,4, 3,4
GP, F, 15, 3, 3, other, other, other, 1, 1, 0, no, no, no, no, yes, yes, 3, 1, 0, 13, 12, 13, pass, pass, pass, 3,1, 3,4, 3,1
GP, F, 16, 2, 1, other, other, other, 1, 2, 0, no, no, no, yes, yes, yes, 3, 2, 2, 12, 13, 12, pass, pass, pass, 3,4, 3,1, 3,4
GP, F, 15, 4, 3, services, services, reputation, 1, 2, 0, no, yes, no, yes, yes, yes, 3, 1, 0, 15, 14, 15, V.good, good, V.good, 2,5, 2,8, 2,5
GP, M, 15, 4, 4, teacher, health, reputation, 1, 2, 0, no, yes, no, yes, yes, no, 2, 5, 8, 15, 15, 16, V.good, V.good, V.good, 2,5, 2,5, 2,2
GP, M, 15, 1, 2, other, at_home, home, 1, 2, 0, yes, yes, no, yes, yes, yes, 3, 5, 0, 14, 13, 14, good, pass, good, 2,8, 3,1, 2,8
GP, F, 16, 4, 2, services, other, course, 1, 2, 0, no, yes, yes, no, yes, yes, 2, 5, 2, 16, 15, 16, V.good, V.good, V.good, 2,2, 2,5, 2,2
GP, F, 16, 4, 4, health, teacher, other, 1, 2, 0, no, yes, no, yes, yes, no, 4, 4, 0, 17, 16, 16, V.good, V.good, V.good, 1,9, 2,2, 2,2
GP, F, 16, 1, 1, services, services, course, 4, 1, 0, yes, yes, no, yes, yes, yes, 5, 5, 0, 10, 10, 16, pass, pass, V.good, 4, 4, 2,2
