school sex age address famsize Pstatus Medu Fedu Mjob Fjob reason guardian traveltime studytime failures schoolsup famsup paid activities nursery higher internet romantic famrel freetime goout Dalc Walc health absences FailHigh alcStudyTime WalcAbsence parentsEdu G1 G2 G3 GN1 GN2 GN3 PF1 PF2 PF3
0 1 0,428571428571429 0 0 0 1 1 0 0,75 0,666666666666667 0,333333333333333 0,333333333333333 0,333333333333333 0 0 1 1 1 0 0 1 1 0,75 0,5 0,75 0 0 0,5 0,125 0,541237113402062 0,334168755221387 0,06265664160401 0,510309278350515 0 0,55 0,55 0 0,5 0,5 0 1 1
0 1 0,285714285714286 0 0 1 0,25 0,25 0 1 0,666666666666667 0 0 0,333333333333333 0 1 0 1 1 1 0 0 1 1 0,5 0,5 0 0 0,5 0,0625 0,360824742268041 0,334168755221387 0,031328320802005 0,46520618556701 0,45 0,55 0,55 0 0,5 0,5 0 1 1
0 1 0 0 1 1 0,25 0,25 0 1 1 0,333333333333333 0 0,333333333333333 0 0 1 1 1 0 0 0 1 0,75 0,5 0,25 0,25 0,5 0,5 0,1875 0,25 0,458855472013367 0,343358395989975 0,4375 0,6 0,65 0,6 0,5 0,5 0,5 1 1 1
0 1 0 0 0 1 1 0,5 0,25 0,5 0 0,333333333333333 0 0,666666666666667 0 1 0 1 0 0 0 0 0 0,5 0,25 0,25 0 0 1 0 0,180412371134021 0,167084377610693 0 0,795103092783505 0,7 0,7 0,7 0,5 0,5 0,5 1 1 1
0 1 0,142857142857143 0 0 1 0,75 0,75 1 1 0 0 0 0,333333333333333 0 1 0 1 1 0 0 1 1 0,75 0,5 0,25 0 0,25 1 0 0,180412371134021 0,334168755221387 0,12468671679198 0,795103092783505 0,55 0,65 0,65 0,5 0,5 0,5 1 1 1
0 0 0,142857142857143 0 1 1 1 0,75 0,5 1 0,333333333333333 0,333333333333333 0 0,333333333333333 0 1 0 1 0 0 0 0 1 1 0,75 0,25 0 0,25 1 0,1875 0,180412371134021 0,334168755221387 0,218671679197995 0,795103092783505 0,6 0,6 0,65 0,5 0,5 0,5 1 1 1
0 0 0,142857142857143 0 1 1 0,5 0,5 1 1 0 0,333333333333333 0 0,333333333333333 0 1 1 1 1 0 0 0 1 0,75 0,75 0,75 0 0 0,5 0 0,541237113402062 0,334168755221387 0 0,510309278350515 0,65 0,6 0,65 0,5 0,5 0,5 1 1 1
0 1 0,285714285714286 0 0 0 1 1 1 0,75 0 0,333333333333333 0,333333333333333 0,333333333333333 0 0 0 1 1 0 0 1 1 0,75 0 0,75 0 0 0 0,0625 0,541237113402062 0,334168755221387 0,031328320802005 0,135309278350515 0,5 0,65 0,65 0,5 0,5 0,5 1 1 1
0 0 0 0 1 0 0,75 0,5 0,5 1 0 0,333333333333333 0 0,333333333333333 0 1 0 1 1 0 0 0 1 0,75 0,25 0,25 0 0 0 0 0,180412371134021 0,334168755221387 0 0,0451030927835052 0,75 0,8 0,85 1 1 1 1 1 1
0 0 0 0 0 1 0,75 1 1 1 0 0,333333333333333 0 0,333333333333333 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0,334168755221387 0 0,75 0,6 0,6 0,65 0,5 0,5 0,5 1 1 1
